Index,ExplicitWord,Frequency
0,ass,2
1,ball,6
7,balls,1
8,big,4
12,bitch,1
13,dick,1
15,fuck,2
17,fuckin,1
18,fucking,1
19,gang,1
20,hoe,1
21,how,2
22,kill,1
24,leather,2
26,mother,1
27,motherfuck,1
28,motherfuckin,1
29,motherfucking,1
30,nig,1
31,nigga,1
32,niggas,1
33,shit,2
35,tight,1
