Index,ExplicitWord,Frequency
0,pocket,1
1,ass,2
2,bitch,1
3,bitches,1
4,call,1
5,hole,1
6,cooter,1
8,fuck,2
10,fuckin,1
11,gang,1
12,top,1
13,goo,1
14,group,1
15,how,2
16,kill,1
18,mother,1
19,motherfuck,1
20,motherfuckin,1
21,nig,1
22,nigga,1
23,niggas,1
24,shit,2
