Index,ExplicitWord,Frequency
0,ass,2
1,bitch,1
2,damn,2
3,deep,1
5,fuck,2
7,fuckin,1
9,hand,1
10,hell,1
11,hoe,1
12,how,2
14,mothafuck,1
15,mothafuckin,1
16,hands,1
17,nig,1
18,nigga,1
19,niggas,1
20,shit,2
