Index,ExplicitWord,Frequency
0,pocket,1
1,ass,2
2,ball,6
8,balls,1
9,big,4
13,bitch,1
14,bitches,1
15,call,1
16,hole,1
17,cooter,1
18,dick,1
20,fuck,2
22,fuckin,1
23,fucking,1
24,gang,1
25,top,1
26,goo,1
27,group,1
28,hoe,1
29,how,2
30,kill,1
32,leather,2
34,mother,1
35,motherfuck,1
36,motherfuckin,1
37,motherfucking,1
38,nig,1
39,nigga,1
40,niggas,1
41,shit,2
43,tight,1
