Index,ExplicitWord,Frequency
0,ass,2
1,big,4
5,bitch,1
6,bum,1
7,fucker,3
8,dick,1
10,fuck,2
13,fuckin,1
14,goo,1
15,hoe,1
16,how,2
18,mother,1
20,motherfuck,1
21,motherfucker,1
22,nig,1
23,nigga,1
24,niggas,1
25,nob,2
27,shit,2
28,pole,1
29,pussy,2
32,shits,1
