Index,ExplicitWord,Frequency
0,ball,6
6,big,4
10,bitch,1
11,butt,1
12,dog,1
13,fuck,2
15,fuckin,1
16,kill,1
17,murder,1
18,nig,1
19,nigga,1
20,niggas,1
21,nob,2
23,pis,1
24,power,1
