Index,ExplicitWord,Frequency
0,ass,2
1,ball,6
7,hump,1
9,fuck,2
11,fuckin,1
12,top,1
13,kill,1
14,nig,1
15,nigga,1
16,niggas,1
17,pawn,1
18,shit,2
19,pussy,2
22,wand,1
23,wet,1
