Index,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
25,ANTI (Deluxe),6,3HQcsqRjRdruUjkbDSgmVF,Woo,spotify:track:3HQcsqRjRdruUjkbDSgmVF,0.0546,0.42,0.466,0.00389,0.298,-5.298,0.0326,115.004,0.185,77
26,ANTI (Deluxe),7,4pAl7FkDMNBsjykPXo91B3,Needed Me,spotify:track:4pAl7FkDMNBsjykPXo91B3,0.11,0.671,0.314,0.0,0.0825,-8.091,0.244,110.898,0.296,84
27,ANTI (Deluxe),8,7eDYNlBwRMeFOZHOZ95dZ1,"Yeah, I Said It",spotify:track:7eDYNlBwRMeFOZHOZ95dZ1,0.547,0.509,0.38,1.21e-06,0.36,-7.479,0.158,127.88,0.249,67
28,ANTI (Deluxe),9,6RtzmszGXs32TRhv5zTKNM,Same Ol’ Mistakes,spotify:track:6RtzmszGXs32TRhv5zTKNM,0.199,0.44,0.803,0.00282,0.0591,-5.415,0.0443,151.777,0.501,66
29,ANTI (Deluxe),10,7Jd5LgnSRQElW6FsTWVPzE,Never Ending,spotify:track:7Jd5LgnSRQElW6FsTWVPzE,0.751,0.53,0.391,6.97e-05,0.187,-9.096,0.0286,82.215,0.521,57
30,ANTI (Deluxe),11,5oO3drDxtziYU2H1X23ZIp,Love On The Brain,spotify:track:5oO3drDxtziYU2H1X23ZIp,0.0717,0.509,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006,0.378,86
31,ANTI (Deluxe),12,1KnJwhZU3DIBe54Q4HPpIl,Higher,spotify:track:1KnJwhZU3DIBe54Q4HPpIl,0.112,0.292,0.567,1.01e-06,0.119,-4.191,0.0416,153.199,0.392,63
32,ANTI (Deluxe),13,6D2tzc8kRnZb7P1lNwMBLH,Close To You,spotify:track:6D2tzc8kRnZb7P1lNwMBLH,0.895,0.494,0.17,0.0,0.139,-11.368,0.0337,80.098,0.145,62
33,ANTI (Deluxe),14,5LJz7kmFhLqB53tmVWxig5,Goodnight Gotham,spotify:track:5LJz7kmFhLqB53tmVWxig5,0.00686,0.418,0.672,2.14e-06,0.277,-5.989,0.0429,82.134,0.353,54
34,ANTI (Deluxe),15,4UTizOdGljPIIbXtoXycAd,Pose,spotify:track:4UTizOdGljPIIbXtoXycAd,0.181,0.685,0.852,0.00135,0.147,-3.153,0.0846,145.918,0.77,54
35,ANTI (Deluxe),16,7BiELrM90hRxpozaIXbsLw,Sex With Me,spotify:track:7BiELrM90hRxpozaIXbsLw,0.294,0.58,0.532,0.0,0.0948,-5.668,0.0424,112.049,0.39,74
49,Unapologetic (Deluxe),1,03cL2gI39EAUUEwpi3mIfr,Phresh Out The Runway,spotify:track:03cL2gI39EAUUEwpi3mIfr,0.000202,0.691,0.866,0.0,0.294,-5.831,0.0729,154.117,0.96,44
50,Unapologetic (Deluxe),2,7Kt59L2ZZGtOnIhvMwzG6f,Diamonds,spotify:track:7Kt59L2ZZGtOnIhvMwzG6f,0.00125,0.564,0.71,0.0,0.109,-4.92,0.0461,91.972,0.393,58
51,Unapologetic (Deluxe),3,5EW2czprA3Pf7ctNFkoOdZ,Numb,spotify:track:5EW2czprA3Pf7ctNFkoOdZ,0.014,0.717,0.697,0.00125,0.131,-5.771,0.137,129.042,0.379,44
52,Unapologetic (Deluxe),4,76VtA90NKurNqaQpV126Ue,Pour It Up,spotify:track:76VtA90NKurNqaQpV126Ue,0.0254,0.785,0.478,0.0,0.0901,-8.735,0.0419,134.002,0.39,71
53,Unapologetic (Deluxe),5,3DZQ6mzUkAdHqZWzqxBKIK,Loveeeeeee Song,spotify:track:3DZQ6mzUkAdHqZWzqxBKIK,0.508,0.71,0.598,0.0,0.0971,-7.598,0.0319,119.981,0.501,74
54,Unapologetic (Deluxe),6,5nUg4ZcXsUAPie730EgUYK,Jump,spotify:track:5nUg4ZcXsUAPie730EgUYK,0.229,0.629,0.819,0.00706,0.169,-6.181,0.25,162.048,0.468,45
55,Unapologetic (Deluxe),7,28OX5qT45GZBuu8CNKBOj6,Right Now,spotify:track:28OX5qT45GZBuu8CNKBOj6,0.049,0.668,0.64,0.0,0.0675,-5.208,0.0888,130.004,0.259,51
