Index,ExplicitWord,Frequency
0,ass,2
1,auto,1
2,big,4
6,bitch,1
7,bitches,1
8,job,2
9,call,1
10,vibe,1
11,bum,1
12,hole,1
13,damn,2
14,deep,1
15,dog,1
16,style,4
19,dry,1
21,fuck,2
23,fucked,1
24,fuckin,1
25,fucks,1
26,gang,1
27,top,1
29,golden,1
31,hard,1
32,hoe,1
33,how,2
35,fat,1
36,mother,1
37,nig,1
38,nigga,1
39,niggas,1
40,nob,2
42,guy,1
43,phone,1
44,shit,2
45,chute,1
48,suck,1
49,women,1
