Index,ExplicitWord,Frequency
0,ass,2
1,juice,1
2,lips,1
3,big,4
7,bitch,1
8,bitches,1
9,booty,1
10,vibe,1
11,hole,1
12,butt,1
13,dick,1
15,foot,1
16,fuck,2
18,fuckin,1
19,goo,1
20,fat,1
21,jail,1
22,nig,1
23,nigga,1
24,niggas,1
25,shit,2
26,pussy,2
29,suck,1
30,taste,1
31,tongue,1
32,vag,1
