Index,ExplicitWord,Frequency
0,girls,5
1,ass,2
2,asses,1
3,call,1
4,style,4
8,top,1
10,goo,1
11,hand,1
12,how,2
14,nig,1
15,nigga,1
16,nob,2
19,phone,1
20,piece,1
24,power,1
