Index,ExplicitWord,Frequency
0,girls,5
1,cup,3
2,ass,2
3,big,4
7,bitch,1
8,bitches,1
9,call,1
10,bum,1
11,butt,1
13,fuck,2
15,fuckin,1
17,hoe,1
18,how,2
20,nig,1
21,nigga,1
22,niggas,1
25,shit,2
26,pussy,2
29,strap,1
30,strip,1
32,tied,1
